scene,split,n_train,n_test,median_seq_gap,max_seq_gap,pct_gap1,pct_sandwiched,median_dnn_over_spacing,p90_dnn_over_spacing,median_d2nn_over_spacing,median_rot_nn_deg,p90_rot_nn_deg
HCM0249,private_set1,240,60,1.0,2,93.3,86.7,0.379,1.234,0.457,10.64,31.38
HCM0254,private_set1,240,60,1.0,2,93.3,83.3,0.26,1.218,0.427,11.91,30.1
HCM0276,private_set1,240,60,1.0,2,88.3,75.0,0.391,0.694,0.523,10.21,31.85
HCM1439,private_set1,103,26,1.5,6,50.0,26.9,0.209,0.669,0.393,12.06,32.22
HNI0131,private_set1,240,60,1.0,6,83.3,66.7,0.311,1.203,0.392,11.17,16.98
HNI0265,private_set1,205,52,2.0,4,0.0,48.1,0.233,0.584,0.289,14.44,23.48
HNI0366,private_set1,240,60,1.0,2,98.3,91.7,0.363,1.385,0.412,9.5,29.77
HNI0437,private_set1,224,56,1.0,2,94.6,87.5,0.468,1.245,0.505,9.71,12.58
HCM0181,public_set,240,60,1.0,2,95.0,86.7,0.401,1.014,0.519,11.36,29.93
HCM0193,public_set,240,60,1.0,2,91.7,80.0,0.487,0.691,0.656,10.75,30.85
HCM0204,public_set,240,60,1.0,5,86.7,75.0,0.509,1.06,0.599,10.98,24.97
hcm0031,public_set,200,50,1.0,3,86.0,72.0,0.453,1.197,0.614,10.88,31.65
hcm0034,public_set,240,60,1.0,2,93.3,83.3,0.403,0.695,0.473,15.2,31.79
