scene,variant,method,psnr,ssim,lpips,score,timestamp,git_commit
hcm0034,baseline,splatfacto,21.3993,0.7378,0.1481,0.7226,2026-07-05T08:26:17,PENDING
hcm0034,antialiased,splatfacto,21.4281,0.7397,0.1461,0.7242,2026-07-05T19:09:44,PENDING
hcm0034,scale_reg,splatfacto,21.3834,0.7370,0.1529,0.7203,2026-07-05T20:13:24,PENDING
hcm0034,mcmc,splatfacto-mcmc,21.3788,0.7361,0.1547,0.7193,2026-07-05T21:29:21,PENDING
hcm0034,sky_mask,splatfacto,21.4025,0.7379,0.1481,0.7226,2026-07-05T23:17:49,PENDING
hcm0031,baseline,splatfacto,21.7312,0.7093,0.1670,0.7090,2026-07-05T23:58:06,PENDING
hcm0031,antialiased,splatfacto,21.7440,0.7119,0.1622,0.7118,2026-07-06T01:12:31,PENDING
hcm0031,scale_reg,splatfacto,21.7085,0.7084,0.1740,0.7057,2026-07-06T01:59:44,PENDING
hcm0031,sky_mask,splatfacto,21.7232,0.7089,0.1674,0.7086,2026-07-06T03:05:04,PENDING
HCM0181,baseline,splatfacto,20.2737,0.7002,0.1542,0.7004,2026-07-06T03:07:40,PENDING
HCM0181,antialiased,splatfacto,20.2468,0.7005,0.1534,0.7006,2026-07-06T07:33:37,PENDING
HCM0181,scale_reg,splatfacto,20.2768,0.7002,0.1590,0.6985,2026-07-06T08:32:25,PENDING
HCM0181,sky_mask,splatfacto,20.2651,0.6998,0.1543,0.7002,2026-07-06T10:07:42,PENDING
HCM0193,baseline,splatfacto,21.9254,0.7078,0.1746,0.7069,2026-07-06T10:10:24,PENDING
HCM0193,antialiased,splatfacto,21.9544,0.7097,0.1722,0.7087,2026-07-06T12:16:10,PENDING
HCM0193,scale_reg,splatfacto,21.9104,0.7070,0.1801,0.7044,2026-07-06T13:35:03,PENDING
HCM0193,sky_mask,splatfacto,21.9257,0.7078,0.1749,0.7068,2026-07-06T15:17:39,PENDING
HCM0204,baseline,splatfacto,20.4571,0.6967,0.1619,0.6977,2026-07-06T15:20:20,PENDING
