scene,arm,n_points,psnr,ssim,lpips,score,timestamp,git_commit
hcm0031,c_vggt,2400000,21.4049,0.6933,0.1820,0.6957,2026-07-04T00:54:12,PENDING
hcm0034,c_vggt,2880000,20.9823,0.7199,0.1678,0.7062,2026-07-04T02:54:31,PENDING
HCM0181,c_vggt,2880000,19.8141,0.6844,0.1732,0.6847,2026-07-04T04:55:12,PENDING
HCM0193,c_vggt,2880000,21.3600,0.6863,0.1953,0.6880,2026-07-04T07:26:39,PENDING
HCM0204,c_vggt,2880000,19.7033,0.6729,0.1901,0.6736,2026-07-04T09:49:36,PENDING
hcm0034,b_dense,1998047,21.3993,0.7378,0.1481,0.7226,2026-07-04T11:38:44,PENDING
hcm0031,b_dense,1997254,21.7312,0.7093,0.1670,0.7090,2026-07-04T23:09:12,PENDING
hcm0034,b_dense,1998047,21.3993,0.7378,0.1481,0.7226,2026-07-04T23:09:46,PENDING
HCM0181,b_dense,1999433,20.2737,0.7002,0.1542,0.7004,2026-07-05T00:26:33,PENDING
HCM0193,b_dense,1995718,21.9254,0.7078,0.1746,0.7069,2026-07-05T01:33:12,PENDING
HCM0204,b_dense,1998955,20.4571,0.6967,0.1619,0.6977,2026-07-05T03:15:14,PENDING
