scene,exp,variant,op,encoder,psnr,ssim,lpips,score,n_images
hcm0031,exp011,identity+jpeg75,identity,jpeg75,21.7306,0.70924,0.16705,0.70893,50
hcm0031,exp011,identity+jpeg90,identity,jpeg90,21.7152,0.70844,0.16511,0.70935,50
hcm0031,exp011,identity+jpeg95,identity,jpeg95,21.7279,0.7092,0.16725,0.70882,50
hcm0031,exp011,identity+jpeg98,identity,jpeg98,21.7301,0.70933,0.16758,0.70874,50
hcm0031,exp011,identity+jpeg95_444,identity,jpeg95_444,21.7278,0.70912,0.16655,0.70908,50
hcm0031,exp011,identity+png,identity,png,21.7312,0.70931,0.16698,0.70898,50
hcm0031,exp011,unsharp_r1_p50+jpeg75,unsharp_r1_p50,jpeg75,21.394,0.70591,0.16095,0.70785,50
hcm0031,exp011,unsharp_r1_p50+jpeg90,unsharp_r1_p50,jpeg90,21.3069,0.70233,0.14554,0.71229,50
hcm0031,exp011,unsharp_r1_p50+jpeg95,unsharp_r1_p50,jpeg95,21.3199,0.70285,0.14437,0.71301,50
hcm0031,exp011,unsharp_r1_p50+jpeg98,unsharp_r1_p50,jpeg98,21.3186,0.70269,0.14303,0.71348,50
hcm0031,exp011,unsharp_r1_p50+jpeg95_444,unsharp_r1_p50,jpeg95_444,21.3182,0.70267,0.14349,0.71329,50
hcm0031,exp011,unsharp_r1_p50+png,unsharp_r1_p50,png,21.3191,0.7026,0.14272,0.71359,50
hcm0031,exp011,unsharp_r1_p100+jpeg75,unsharp_r1_p100,jpeg75,20.6244,0.68133,0.14621,0.7006,50
hcm0031,exp011,unsharp_r1_p100+jpeg90,unsharp_r1_p100,jpeg90,20.6709,0.68437,0.14559,0.70211,50
hcm0031,exp011,unsharp_r1_p100+jpeg95,unsharp_r1_p100,jpeg95,20.6785,0.68469,0.1438,0.70298,50
hcm0031,exp011,unsharp_r1_p100+jpeg98,unsharp_r1_p100,jpeg98,20.6721,0.6841,0.14288,0.70312,50
hcm0031,exp011,unsharp_r1_p100+jpeg95_444,unsharp_r1_p100,jpeg95_444,20.6746,0.68437,0.14285,0.70323,50
hcm0031,exp011,unsharp_r1_p100+png,unsharp_r1_p100,png,20.6706,0.68401,0.14272,0.70314,50
