scene,exp,variant,psnr,ssim,lpips,score,train_hours,gpu,timestamp
hcm0034,exp007_bilateral_grid,control,21.4320,0.7397,0.2392,0.6548,1.94,local,2026-07-09T02:34:37
hcm0034,exp006_capacity_iters_sweep,mcmc3M_30k,21.3635,0.7369,0.2425,0.6523,1.75,rented,2026-07-08T15:45:29
hcm0034,exp006_capacity_iters_sweep,big_30k,21.4695,0.7410,0.2356,0.6569,2.11,rented,2026-07-08T17:53:55
HCM0181,exp006_capacity_iters_sweep,mcmc3M_30k,20.2450,0.6991,0.2437,0.6337,1.71,rented,2026-07-08T19:38:21
HCM0181,exp006_capacity_iters_sweep,big_30k,20.2926,0.7028,0.2396,0.6367,2.30,rented,2026-07-08T21:58:08
HCM0181,exp007_bilateral_grid,control,20.2743,0.7017,0.2443,0.6344,1.01,rented,2026-07-09T03:43:05
hcm0034,exp007_bilateral_grid,bilateral,20.8545,0.7353,0.2387,0.6502,1.41,rented,2026-07-09T04:07:18
HCM0181,exp007_bilateral_grid,bilateral,19.4964,0.6904,0.2444,0.6263,1.40,rented,2026-07-09T05:09:26
hcm0034,exp008_transient_mask,masked,21.4128,0.7391,0.2397,0.6543,1.02,rented,2026-07-09T06:13:05
HCM0181,exp008_transient_mask,masked,20.2641,0.7011,0.2446,0.6341,1.03,rented,2026-07-09T06:13:17
hcm0034,exp014_camera_opt,camopt_so3xr3,20.7014,0.6980,0.2469,0.6349,1.06,local,2026-07-09T13:34:14
hcm0034,exp009_perceptual_ft,lpips_w005,21.4281,0.7397,0.2393,0.6548,5.86,rented,2026-07-09T13:04:16
hcm0034,exp009_perceptual_ft,lpips_w010,21.4281,0.7397,0.2393,0.6548,5.94,rented,2026-07-09T13:08:55
hcm0034,exp006_capacity_iters_sweep,big_100k,21.4608,0.7410,0.2332,0.6578,7.34,rented,2026-07-09T23:27:39
hcm0034,exp006_capacity_iters_sweep,big_60k,21.4514,0.7405,0.2344,0.6571,4.14,rented,2026-07-09T20:15:50
HCM0204,exp004_hcm0204_fill,antialiased,20.4553,0.6986,0.2461,0.6339,1.05,rented,2026-07-10T00:36:52
hcm0034,exp013_tpw_sampling,tpw_boost1,21.4187,0.7393,0.2387,0.6548,1.02,local,2026-07-10T00:43:17
HCM0181,exp006_capacity_iters_sweep,big_100k,20.3373,0.7052,0.2342,0.6399,7.53,rented,2026-07-09T23:35:40
HCM0181,exp006_capacity_iters_sweep,big_60k,20.3239,0.7039,0.2365,0.6385,4.51,rented,2026-07-09T20:34:41
hcm0034,exp022_periphery_weighted,control,21.4328,0.7397,0.2391,0.6548,1.05,local,2026-07-11T04:28:22
hcm0034,exp022_periphery_weighted,prw_boost1,21.4175,0.7391,0.2397,0.6544,1.12,local,2026-07-11T04:32:04
hcm0034,exp023_024_029_sparse_sweep,control,,,,0.6481,,rented,2026-07-11T00:00:00
hcm0034,exp023_024_029_sparse_sweep,legs,,,,0.6499,,rented,2026-07-11T00:00:00
hcm0034,exp023_024_029_sparse_sweep,mcmc2M_sparse,,,,0.6369,,rented,2026-07-11T00:00:00
HCM0181,exp023_024_029_sparse_sweep,control,,,,0.6306,,rented,2026-07-11T00:00:00
HCM0181,exp023_024_029_sparse_sweep,legs,,,,0.6327,,rented,2026-07-11T00:00:00
HCM0181,exp023_024_029_sparse_sweep,mcmc2M_sparse,,,,0.6249,,rented,2026-07-11T00:00:00
